"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PHKG1",-12.583389762507,-12.5507959039299,-12.6503120725273,0.0381850920540421,1.65612283727074,0.0243462662595834,0.49146666671725,0.8343455233048,0.982116157574457,0.857072317192343,0.974735244414203
"PHKG2",-6.33247866352692,-5.97782672584792,-7.60792922025121,-1.54417802543152,0.678303613111293,-1.90756453117939,0.020800034855838,1.01544437078938e-12,4.91398871187854e-12,4.26653519864921e-14,2.41883177242039e-13
"PHLDA1",-4.33083421801507,-4.0976394855659,-5.00222378644327,-1.05054181017866,1.37470803966652,-0.748809464849343,0.204212212772357,1.38407233869425e-05,2.03441189478375e-05,3.69531597625602e-05,5.24182359679252e-05
"PHLDA2",-9.75554543211994,-9.25509471686827,-9.98406841772727,-1.09739639346179,1.96552206433114,-0.521107649268813,0.291466668162635,0.00182398548384093,0.00236151311331339,0.00548896808729008,0.0068674163399176
"PHLDA3",-6.39325837314477,-6.46823513653227,-6.35281481448953,-0.0356608469874322,1.01277083467818,-0.0363870338195006,0.484266666759994,0.663704036887368,0.732359295460005,0.876586562433378,0.948257726818783
"PHLDB1",-4.5104476385267,-3.80873509594469,-5.40601255512262,-1.55174361483472,1.08584420036193,-1.33430838440305,0.0792000085483298,1.01769699339474e-09,2.23005578344046e-09,6.486290350753e-10,1.34143732324287e-09
"PHLDB2",-4.07770698029466,-3.24274750500741,-5.34327672484985,-2.07709909892824,1.149874340368,-1.70780640409809,0.0378666854585515,2.37103274009914e-12,1.01094069001184e-11,1.26002167367644e-12,4.37079760441233e-12
"PHLDB3",-8.10832524877403,-7.85178837111749,-8.78043924660215,-0.933866145454469,1.08924250087182,-0.752777738456011,0.244468143877339,4.34055676269827e-05,6.17620091742409e-05,0.000407014941061589,0.000543550216435796
"PHLPP1",-6.71989184276752,-5.86993123909885,-8.26046444207452,-2.39409039933949,1.20831844496074,-1.88836024367455,0.0242602270387249,7.65352719030992e-14,5.67896621025227e-13,5.75966862594801e-14,3.18290713250861e-13
"PHLPP2",-7.06715740460013,-6.26265653658652,-8.2267548491809,-1.8989166373298,1.15952016108806,-1.59502422398475,0.0405333508361237,1.59054762599309e-11,5.18970247291682e-11,2.21633348320982e-12,7.17128642845175e-12
"PHOSPHO1",-11.527312531265,-10.9690920200644,-12.0641796805642,-1.17146780105425,1.37802021277957,-0.786026324823287,0.203412426064005,4.70411126369242e-05,6.6225360148429e-05,8.11576089459595e-05,0.00011169891613469
"PHOSPHO2",-9.5760595568215,-9.0288870120713,-10.9452156416397,-1.90537419441654,1.43173578946175,-1.18999009007118,0.0829112317957855,2.2620307132778e-08,4.12827936518149e-08,8.16303987640235e-10,1.64482483213256e-09
